Texto breve de material;Lote;Libre utilización;Valor libre util.;Restantes; Precio Unitario ;;;
7032173 - CENT ENTRET DALA 182X183X42 NAT/OFFWH;780003557;8; $ 5.373.799 ;8; $ 671.724,88 ;;;
7032177 - CENT ENTRET FRIZZ 218X197X45 OFFWHITE;780003558;4; $ 3.407.766 ;4; $ 851.941,50 ;;;
7032382 - CENTRO ENTRE VELES 200X187X40 NEG/NAT;780003528;1; $ 745.103 ;1; $ 745.103,00 ;;;
7031627 - CENTRO ENTRET SMART 240X192 NAT/OFFWHITE;780003645;2; $ 1.716.231 ;2; $ 858.115,50 ;;;
7029161 - CHAISE LONGUE GANTE MICROF CRUDO/CHAMPAÑ;770086812;8; $ 1.949.576 ;8; $ 243.697,00 ;;;
7030371 - COJIN 45X45 GRIS CAMBRA;1;1; $ 24.700 ;1; $ 24.700,00 ;;;
7027079 - COJIN 45X45 MENTA TAXCO;1;2; $ 31.900 ;2; $ 15.950,00 ;;;
7026957 - COL 100X190X027 BERLIN NEW PILLOW TOP;1;1; $ 378.000 ;1; $ 378.000,00 ;;;
7035475 - COL FULL 140X190X26 ESSENCIAL TIGHT TOP;4992012;1; $ 407.240 ;1; $ 407.240,00 ;;;
7031462 - COLCHO TW 090X190X22 ESSENCIAL TIGHT TOP;1;4; $ 1.131.204 ;4; $ 282.801,00 ;;;
7021640 - COLCHO TWIN 120X190X28 MG SERENITY ORT B;1;1; $ 504.960 ;1; $ 504.960,00 ;;;
7015083 - COLCHON 1.60X1.90X30 NAOS INC:PROT 1.60;1;1; $ 681.717 ;1; $ 681.717,00 ;;;
7008727 - COLCHON KING 2.00X2.00 SYBARIS;1;1; $ 1.746.830 ;1; $ 1.746.830,00 ;;;
7019362 - COLCHON PACIFIC FULL 1,40X1,90X0,34;1;1; $ 1.235.973 ;1; $ 1.235.973,00 ;;;
7030186 - COLCHON QUEN 160X190X32 DINAMIC EURO TOP;1;1; $ 915.000 ;1; $ 915.000,00 ;;;
7008009 - COLCHON TWIN 1.00X1.90 TORONTO;1;1; $ 55.816 ;1; $ 55.816,00 ;;;
7028970 - COMEDOR 4PTOS HODSON MICROF BEIGE/NEGRO;780003402;3; $ 2.024.450 ;3; $ 674.816,67 ;;;
7030400 - COMODA INFANTIL ALBI BLANCO/MIEL;780003422;6; $ 3.745.389 ;6; $ 624.231,50 ;;;
7027065 - CONSOLA 120X74X40 JASS NATURAL;780003237;8; $ 3.003.460 ;8; $ 375.432,50 ;;;
7032983 - CONSOLA CHARLOT 136X83 GRIS/MARMOLADO;780003558;29; $ 9.233.991 ;29; $ 318.413,48 ;;;
7032185 - CONSOLA CHARLOT 136X83 TAUPE;780003474;15; $ 4.734.837 ;15; $ 315.655,80 ;;;
7032185 - CONSOLA CHARLOT 136X83 TAUPE;780003475;20; $ 6.313.115 ;20; $ 315.655,75 ;;;
7032208 - CONSOLA CLARA 144X79 OFFWHITE/NATURAL;780003319;5; $ 3.242.508 ;5; $ 648.501,60 ;;;
